0, -0.19999999999999113
1, -0.19999999999994664
2, -0.19999999999972828
3, -0.19999999999869028
4, -0.1999999999939208
5, -0.19999999997275988
6, -0.19999999988222714
7, -0.19999999950921085
8, -0.1999999980311695
9, -0.1999999924075218
10, -0.19999997189586974
11, -0.19999990030675896
12, -0.19999966169348232
13, -0.19999890382441676
14, -0.19999661561488222
15, -0.19999006572960187
16, -0.19997234379154805
17, -0.19992716957415757
18, -0.1998190764767313
19, -0.19957721920971033
20, -0.1990731506203917
21, -0.19809803609018886
22, -0.1963517938567063
23, -0.1934603002148753
24, -0.1890300153458087
25, -0.1827317096924796
26, -0.1743884752155734
27, -0.16404386833564819
28, -0.1520067404698658
29, -0.1388957062223059
30, -0.12571480473135702
31, -0.11393612773706109
32, -0.10533589340651352
33, -0.10101912681562293
34, -0.10000000000000098
35, -0.10000000000000098
36, -0.10000000000000098
37, -0.10000000000000098
38, -0.10000000000000098
39, -0.10000000000000098
40, -0.10000000000000098
41, -0.10000000000000242
42, -0.10000000000001344
43, -0.10000000000009594
44, -0.10000000000069072
45, -0.10000000000479448
46, -0.10000000003186582
47, -0.10000000020227819
48, -0.10000000122387558
49, -0.10000000704362992
50, -0.10000003847488438
51, -0.10000019900648399
52, -0.10000097227726944
53, -0.10000447514665001
54, -0.10001935140589577
55, -0.10007837746413085
56, -0.10029623421099401
57, -0.10103872336194508
58, -0.1033379482052934
59, -0.10956513628920782
60, -0.12323864774439248
61, -0.14519669210888264
62, -0.16912021444157593
63, -0.1867080698652857
64, -0.1957693780938855
65, -0.1990918003998627
66, -0.1999003996628033
67, -0.20000000000000046
68, -0.20000000000000046
69, -0.20000000000000046
70, -0.20000000000000046
71, -0.20000000000000046
72, -0.20000000000000046
73, -0.20000000000000046
74, -0.20000000000000046
75, -0.20000000000000046
76, -0.20000000000000046
77, -0.20000000000000046
78, -0.20000000000000046
79, -0.20000000000000046
80, -0.20000000000000046
81, -0.20000000000000046
82, -0.20000000000000046
83, -0.20000000000000046
84, -0.20000000000000046
85, -0.20000000000000046
86, -0.20000000000000046
87, -0.20000000000000046
88, -0.20000000000000046
89, -0.20000000000000046
90, -0.20000000000000046
91, -0.20000000000000046
92, -0.20000000000000046
93, -0.20000000000000046
94, -0.20000000000000046
95, -0.20000000000000046
96, -0.20000000000000046
97, -0.20000000000000046
98, -0.20000000000000046
99, -0.20000000000000046
